Country,State,Year,Emission_Type,Emission
United States,South Carolina,1995,Fossil_CO2,11523.569960108
United States,South Dakota,1995,Fossil_CO2,911.19141301433
United States,Tennessee,1995,Fossil_CO2,12203.186781553
United States,Texas,1995,Fossil_CO2,91244.009984425
United States,Utah,1995,Fossil_CO2,5595.5223075048
United States,Vermont,1995,Fossil_CO2,494.87556317875
United States,Virginia,1995,Fossil_CO2,13118.844608246
United States,Washington,1995,Fossil_CO2,21630.549490051
United States,West Virginia,1995,Fossil_CO2,8421.3356953486
United States,California,1995,Fossil_CO2,83559.012774436
United States,Wisconsin,1995,Fossil_CO2,13260.091407845
United States,Wyoming,1995,Fossil_CO2,3270.7963647866
United States,Colorado,1995,Fossil_CO2,10421.291861737
United States,Connecticut,1995,Fossil_CO2,1918.4922464416
United States,Delaware,1995,Fossil_CO2,6646.1690534575
United States,District of Columbia,1995,Fossil_CO2,172.48545669347
United States,Alabama,1996,Fossil_CO2,26224.193193413
United States,Florida,1996,Fossil_CO2,16835.799018999
United States,Georgia,1996,Fossil_CO2,28732.686027561
United States,Hawaii,1996,Fossil_CO2,2283.5009701162
United States,Idaho,1996,Fossil_CO2,2222.0960220724
United States,Illinois,1996,Fossil_CO2,37494.484397778
United States,Indiana,1996,Fossil_CO2,64131.404867246
United States,Iowa,1996,Fossil_CO2,22848.563917015
United States,Kansas,1996,Fossil_CO2,13230.848099171
United States,Kentucky,1996,Fossil_CO2,15197.128297347
United States,Louisiana,1996,Fossil_CO2,75930.618256788
United States,Alaska,1996,Fossil_CO2,10575.721801584
United States,Maine,1996,Fossil_CO2,3247.3737329077
United States,Maryland,1996,Fossil_CO2,5487.5211819362
United States,Massachusetts,1996,Fossil_CO2,3948.1765322627
United States,Michigan,1996,Fossil_CO2,26288.217829106
United States,Minnesota,1996,Fossil_CO2,11809.476115797
United States,Mississippi,1996,Fossil_CO2,59236.393105559
United States,Missouri,1996,Fossil_CO2,11034.660815425
United States,Montana,1996,Fossil_CO2,4667.3230473924
United States,Nebraska,1996,Fossil_CO2,4272.9763199868
United States,Nevada,1996,Fossil_CO2,2162.7093397206
United States,Arizona,1996,Fossil_CO2,5155.4020292072
United States,New Hampshire,1996,Fossil_CO2,862.99626111597
United States,New Jersey,1996,Fossil_CO2,13600.762989341
United States,New Mexico,1996,Fossil_CO2,3630.0935194755
United States,New York,1996,Fossil_CO2,13948.709267606
United States,North Carolina,1996,Fossil_CO2,10877.371728935
United States,North Dakota,1996,Fossil_CO2,26938.533389897
United States,Ohio,1996,Fossil_CO2,38670.318483601
United States,Oklahoma,1996,Fossil_CO2,27768.941116755
United States,Oregon,1996,Fossil_CO2,8515.8295780271
United States,Pennsylvania,1996,Fossil_CO2,29501.900592484
United States,Arkansas,1996,Fossil_CO2,21025.714303878
United States,Rhode Island,1996,Fossil_CO2,970.73195149933
United States,South Carolina,1996,Fossil_CO2,13746.829227579
