Year,State_Name,Manufacturing_GDP
2014,New Hampshire,29186.8
2014,New Jersey,182008.3
2014,New Mexico,14814.8
2014,New York,261575.4
2014,North Carolina,350903.1
2014,North Dakota,13989.0
2014,Ohio,415347.0
2014,Oklahoma,72008.3
2014,Oregon,111098.79999999999
2014,Pennsylvania,340211.9
2014,Rhode Island,16942.0
2014,South Carolina,119438.5
2014,South Dakota,15974.1
2014,Tennessee,182007.1
2014,Texas,826832.5
2014,Utah,65698.0
2014,Vermont,10652.4
2014,Virginia,153764.2
2014,Washington,244119.5
2014,West Virginia,27802.2
2014,Wisconsin,219412.2
2014,Wyoming,7519.3
2015,Alabama,128838.0
2015,Alaska,7524.4
2015,Arizona,100742.6
2015,Arkansas,66874.9
2015,California,1105807.7999999998
2015,Colorado,90368.9
2015,Connecticut,112212.2
2015,Delaware,19229.0
2015,District of Columbia,917.3
2015,Florida,185761.3
2015,Georgia,205163.9
2015,Hawaii,6918.6
2015,Idaho,27141.1
2015,Illinois,387749.19999999995
2015,Indiana,343105.4
2015,Iowa,126090.5
2015,Kansas,91412.7
2015,Kentucky,133188.9
2015,Louisiana,197302.7
2015,Maine,20209.1
2015,Maryland,76214.3
2015,Massachusetts,197789.6
2015,Michigan,330640.5
2015,Minnesota,188995.0
2015,Mississippi,62781.399999999994
2015,Missouri,144305.5
2015,Montana,14749.1
2015,Nebraska,45845.4
2015,Nevada,22646.7
2015,New Hampshire,32786.8
2015,New Jersey,176010.4
2015,New Mexico,16601.7
2015,New York,269769.6
2015,North Carolina,362808.5
2015,North Dakota,14093.4
2015,Ohio,400141.9
2015,Oklahoma,70759.7
2015,Oregon,117577.6
2015,Pennsylvania,335452.0
2015,Rhode Island,18549.7
2015,South Carolina,126819.1
2015,South Dakota,16041.199999999999
2015,Tennessee,186849.9
2015,Texas,852358.1
2015,Utah,68770.3
2015,Vermont,11205.9
2015,Virginia,156624.3
2015,Washington,257445.30000000002
2015,West Virginia,26414.7
2015,Wisconsin,217982.2
2015,Wyoming,10322.2
2016,Alabama,133878.7
2016,Alaska,7050.6
2016,Arizona,103678.9
2016,Arkansas,66621.0
2016,California,1146678.1
2016,Colorado,89267.5
2016,Connecticut,102841.0
2016,Delaware,15918.8
2016,District of Columbia,990.0
2016,Florida,191074.8
2016,Georgia,214023.0
2016,Hawaii,7296.5
2016,Idaho,27989.1
2016,Illinois,382272.10000000003
2016,Indiana,350716.4
2016,Iowa,110432.4
2016,Kansas,95182.0
2016,Kentucky,132164.69999999998
2016,Louisiana,187787.0
2016,Maine,21212.7
2016,Maryland,81500.4
2016,Massachusetts,194446.0
2016,Michigan,336650.8
2016,Minnesota,189561.2
2016,Mississippi,64177.9
2016,Missouri,134571.40000000002
2016,Montana,12099.6
2016,Nebraska,44149.0
2016,Nevada,23379.9
2016,New Hampshire,34301.5
2016,New Jersey,192659.7
2016,New Mexico,16281.9
2016,New York,262454.6
2016,North Carolina,353423.4
2016,North Dakota,12675.6
2016,Ohio,399887.6
2016,Oklahoma,63414.4
2016,Oregon,120666.8
2016,Pennsylvania,332947.0
2016,Rhode Island,18656.8
2016,South Carolina,129448.7
2016,South Dakota,16711.5
2016,Tennessee,192312.5
2016,Texas,832404.3
2016,Utah,67734.1
2016,Vermont,11020.9
2016,Virginia,152908.4
2016,Washington,229819.7
2016,West Virginia,27408.899999999998
2016,Wisconsin,216079.3
2016,Wyoming,8521.8
2017,Alabama,137130.5
2017,Alaska,7662.200000000001
2017,Arizona,113332.3
2017,Arkansas,66836.0
2017,California,1260200.3
2017,Colorado,88763.6
2017,Connecticut,107816.9
2017,Delaware,18225.6
2017,District of Columbia,0.0
2017,Florida,197351.1
2017,Georgia,220380.2
2017,Hawaii,7133.799999999999
2017,Idaho,29029.9
2017,Illinois,390215.7
2017,Indiana,352223.1
2017,Iowa,117108.1
2017,Kansas,98616.5
2017,Kentucky,138494.9
2017,Louisiana,205588.8
2017,Maine,22653.9
2017,Maryland,83289.9
2017,Massachusetts,193372.5
2017,Michigan,343324.8
2017,Minnesota,187493.3
2017,Mississippi,65062.4
2017,Missouri,135046.2
2017,Montana,16680.3
2017,Nebraska,43830.5
2017,Nevada,25925.0
2017,New Hampshire,32528.8
2017,New Jersey,185072.2
2017,New Mexico,15765.9
2017,New York,262156.4
2017,North Carolina,347500.5
2017,North Dakota,12976.6
2017,Ohio,407606.9
2017,Oklahoma,68168.1
2017,Oregon,123825.9
2017,Pennsylvania,345183.5
2017,Rhode Island,18195.5
2017,South Carolina,125755.0
2017,South Dakota,16802.4
2017,Tennessee,207635.6
2017,Texas,874011.7999999999
2017,Utah,73541.4
2017,Vermont,11166.6
2017,Virginia,153775.6
2017,Washington,228463.6
2017,West Virginia,29026.2
2017,Wisconsin,211433.9
2017,Wyoming,0.0
2018,Alabama,141219.3
2018,Alaska,5536.8
2018,Arizona,124020.8
2018,Arkansas,70197.9
2018,California,1354363.3
2018,Colorado,93249.9
2018,Connecticut,119763.5
2018,Delaware,18897.3
2018,District of Columbia,1022.7
2018,Florida,202113.6
2018,Georgia,217051.8
2018,Hawaii,7130.1
2018,Idaho,32532.1
2018,Illinois,416822.5
2018,Indiana,369083.5
2018,Iowa,122982.0
2018,Kansas,104638.3
2018,Kentucky,138087.4
2018,Louisiana,209862.8
2018,Maine,23218.199999999997
2018,Maryland,86396.9
2018,Massachusetts,207075.4
2018,Michigan,352582.9
2018,Minnesota,196282.0
2018,Mississippi,63523.5
2018,Missouri,132578.8
2018,Montana,16500.2
2018,Nebraska,49086.6
2018,Nevada,29292.2
2018,New Hampshire,35341.2
2018,New Jersey,206838.1
2018,New Mexico,15932.0
2018,New York,256284.5
2018,North Carolina,348785.6
2018,North Dakota,12982.6
2018,Ohio,409260.9
2018,Oklahoma,75134.7
2018,Oregon,133016.0
2018,Pennsylvania,341916.4
2018,Rhode Island,18470.3
2018,South Carolina,128147.4
2018,South Dakota,16448.0
2018,Tennessee,199894.4
2018,Texas,948657.9
2018,Utah,80775.4
2018,Vermont,11456.3
2018,Virginia,161630.8
2018,Washington,233841.2
2018,West Virginia,28974.8
2018,Wisconsin,215704.7
2018,Wyoming,11048.1
2019,Alabama,141656.9
2019,Alaska,5910.6
2019,Arizona,131744.0
2019,Arkansas,71000.5
2019,California,1417443.3
2019,Colorado,97970.7
2019,Connecticut,125411.9
2019,Delaware,21444.2
2019,District of Columbia,970.4
2019,Florida,211005.3
2019,Georgia,216361.6
2019,Hawaii,6261.5
2019,Idaho,33658.9
2019,Illinois,415079.2
2019,Indiana,368488.4
2019,Iowa,122650.9
2019,Kansas,105577.8
2019,Kentucky,148232.8
2019,Louisiana,209630.5
2019,Maine,24252.0
2019,Maryland,90675.9
2019,Massachusetts,202414.9
2019,Michigan,346041.5
2019,Minnesota,192338.9
2019,Mississippi,63922.8
2019,Missouri,140155.1
2019,Montana,13383.9
2019,Nebraska,52155.3
2019,Nevada,30302.2
2019,New Hampshire,35452.1
2019,New Jersey,215577.3
2019,New Mexico,17938.2
2019,New York,275134.5
2019,North Carolina,347319.1
2019,North Dakota,14005.5
2019,Ohio,414989.2
2019,Oklahoma,77259.1
2019,Oregon,130445.09999999999
2019,Pennsylvania,358917.6
2019,Rhode Island,17908.6
2019,South Carolina,136377.0
2019,South Dakota,15175.9
2019,Tennessee,203730.3
2019,Texas,902733.2
2019,Utah,86284.2
2019,Vermont,11465.2
2019,Virginia,163873.3
2019,Washington,239093.9
2019,West Virginia,27438.4
2019,Wisconsin,224629.8
2019,Wyoming,12901.4
2020,Alabama,135815.5
2020,Alaska,0.0
2020,Arizona,131968.8
2020,Arkansas,70104.1
2020,California,1407948.6
2020,Colorado,98899.5
2020,Connecticut,113617.7
2020,Delaware,20539.6
2020,District of Columbia,0.0
2020,Florida,209314.4
2020,Georgia,203890.3
2020,Hawaii,5735.0
2020,Idaho,33077.0
2020,Illinois,386577.4
2020,Indiana,349061.4
2020,Iowa,122363.8
2020,Kansas,100483.2
2020,Kentucky,141576.5
2020,Louisiana,162213.5
2020,Maine,24606.4
2020,Maryland,90857.1
2020,Massachusetts,196806.5
2020,Michigan,326909.9
2020,Minnesota,182095.5
2020,Mississippi,63592.399999999994
2020,Missouri,135342.5
2020,Montana,11142.6
2020,Nebraska,52875.0
2020,Nevada,29695.4
2020,New Hampshire,34962.7
2020,New Jersey,210784.9
2020,New Mexico,16363.7
2020,New York,250150.5
2020,North Carolina,336156.5
2020,North Dakota,14003.9
2020,Ohio,389637.8
2020,Oklahoma,67647.3
2020,Oregon,134750.7
2020,Pennsylvania,345863.5
2020,Rhode Island,17454.3
2020,South Carolina,126197.90000000001
2020,South Dakota,15617.0
2020,Tennessee,198512.3
2020,Texas,820452.8
2020,Utah,85545.3
2020,Vermont,11720.2
2020,Virginia,158322.4
2020,Washington,224470.9
2020,West Virginia,26984.8
2020,Wisconsin,212102.59999999998
2020,Wyoming,10644.7
2021,Alabama,144249.7
2021,Alaska,6104.0
2021,Arizona,143561.8
2021,Arkansas,74660.9
2021,California,1514042.3
2021,Colorado,106464.3
2021,Connecticut,123983.4
2021,Delaware,20665.4
2021,District of Columbia,0.0
2021,Florida,224744.8
2021,Georgia,223758.90000000002
2021,Hawaii,0.0
2021,Idaho,34620.3
2021,Illinois,413042.80000000005
2021,Indiana,380858.8
2021,Iowa,130679.1
2021,Kansas,105556.3
2021,Kentucky,153590.3
2021,Louisiana,156131.8
2021,Maine,26522.1
2021,Maryland,92920.0
2021,Massachusetts,206308.90000000002
2021,Michigan,381810.3
2021,Minnesota,196625.9
2021,Mississippi,69838.1
2021,Missouri,145738.1
2021,Montana,12695.5
2021,Nebraska,57842.0
2021,Nevada,33761.3
2021,New Hampshire,36823.2
2021,New Jersey,213055.3
2021,New Mexico,16536.8
2021,New York,263969.0
2021,North Carolina,354884.1
2021,North Dakota,15368.2
2021,Ohio,418635.8
2021,Oklahoma,69450.9
2021,Oregon,134349.3
2021,Pennsylvania,358175.4
2021,Rhode Island,18915.8
2021,South Carolina,138992.5
2021,South Dakota,16984.7
2021,Tennessee,222397.8
2021,Texas,858713.3
2021,Utah,94519.1
2021,Vermont,12321.4
2021,Virginia,170273.3
2021,Washington,226611.0
2021,West Virginia,28676.9
2021,Wisconsin,231783.1
2021,Wyoming,11080.6
2022,Alabama,145283.3
2022,Alaska,5930.7
2022,Arizona,140635.9
2022,Arkansas,74840.8
2022,California,1460902.9
2022,Colorado,103674.1
2022,Connecticut,125791.9
2022,Delaware,20422.9
2022,District of Columbia,0.0
2022,Florida,228955.3
2022,Georgia,228587.5
2022,Hawaii,0.0
2022,Idaho,35564.3
2022,Illinois,428301.7
2022,Indiana,382660.7
2022,Iowa,134246.6
2022,Kansas,109911.9
2022,Kentucky,155603.1
2022,Louisiana,157903.5
2022,Maine,26574.3
2022,Maryland,92436.4
2022,Massachusetts,201290.4
2022,Michigan,391071.2
2022,Minnesota,195552.0
2022,Mississippi,70879.7
2022,Missouri,151881.4
2022,Montana,13122.4
2022,Nebraska,58013.9
2022,Nevada,35403.1
2022,New Hampshire,39020.3
2022,New Jersey,208804.1
2022,New Mexico,16975.1
2022,New York,262865.7
2022,North Carolina,343844.5
2022,North Dakota,15251.8
2022,Ohio,422626.1
2022,Oklahoma,67430.9
2022,Oregon,133762.9
2022,Pennsylvania,360815.4
2022,Rhode Island,18856.7
2022,South Carolina,139819.2
2022,South Dakota,16701.5
2022,Tennessee,233687.4
2022,Texas,884454.4
2022,Utah,94814.20000000001
2022,Vermont,12098.6
2022,Virginia,169136.5
2022,Washington,229215.1
2022,West Virginia,27889.5
2022,Wisconsin,226764.4
2022,Wyoming,12217.0
2023,Alabama,36015.9
2023,Alaska,1440.2
2023,Arizona,35290.7
2023,Arkansas,18514.5
2023,California,359120.8
2023,Colorado,26054.7
2023,Connecticut,31273.2
2023,Delaware,5087.3
2023,District of Columbia,0.0
2023,Florida,57049.9
2023,Georgia,56462.3
2023,Hawaii,0.0
2023,Idaho,8714.2
2023,Illinois,104276.8
2023,Indiana,93172.8
2023,Iowa,33358.1
2023,Kansas,27475.3
2023,Kentucky,38318.9
2023,Louisiana,38976.1
2023,Maine,6509.5
2023,Maryland,22963.7
2023,Massachusetts,49399.6
2023,Michigan,96166.6
2023,Minnesota,48449.5
2023,Mississippi,17387.6
2023,Missouri,38096.3
2023,Montana,3264.7
2023,Nebraska,14436.9
2023,Nevada,8954.3
2023,New Hampshire,9703.4
2023,New Jersey,52036.2
2023,New Mexico,4257.7
2023,New York,64226.8
2023,North Carolina,84441.8
2023,North Dakota,3800.6
2023,Ohio,104263.8
2023,Oklahoma,16820.0
2023,Oregon,32947.9
2023,Pennsylvania,89326.7
2023,Rhode Island,4631.4
2023,South Carolina,34244.6
2023,South Dakota,4187.7
2023,Tennessee,57920.3
2023,Texas,224009.8
2023,Utah,23402.8
2023,Vermont,2973.2
2023,Virginia,41547.9
2023,Washington,57603.6
2023,West Virginia,6814.8
2023,Wisconsin,55902.6
2023,Wyoming,2984.0
